year.from,month.from,day.from,year.to,month.to,day.to,week,numdate,raw.births.no.uhp,birth.trend,pop,inner.pop,raw.birth.rate,lin.birth.rate1,lin.birth.rate2
1751,4,30,1751,5,7,19,1751.329,265,284.4249,676329,676329,4.21E-04,0.000425553,0.000598156
1751,5,7,1751,5,14,20,1751.348,289,284.4885,676348,676348,4.21E-04,0.000425618,0.000598221
1751,5,14,1751,5,21,21,1751.367,246,284.552,676367,676367,4.21E-04,0.000425683,0.000598285
1751,5,21,1751,5,28,22,1751.386,247,284.6153,676386,676386,4.21E-04,0.000425747,0.00059835
1751,5,28,1751,6,4,23,1751.405,260,284.6785,676405,676405,4.21E-04,0.000425812,0.000598415
1751,6,4,1751,6,11,24,1751.425,273,284.7415,676425,676425,4.21E-04,0.00042588,0.000598483
1751,6,11,1751,6,18,25,1751.444,306,284.8043,676444,676444,4.21E-04,0.000425944,0.000598547
1751,6,18,1751,6,25,26,1751.463,236,284.867,676463,676463,4.21E-04,0.000426009,0.000598612
1751,6,25,1751,7,2,27,1751.482,304,284.9295,676482,676482,4.21E-04,0.000426074,0.000598676
1751,7,2,1751,7,9,28,1751.501,251,284.9918,676501,676501,4.21E-04,0.000426138,0.000598741
1751,7,9,1751,7,16,29,1751.521,258,285.0539,676521,676521,4.21E-04,0.000426206,0.000598809
1751,7,16,1751,7,23,30,1751.54,232,285.1158,676540,676540,4.21E-04,0.000426271,0.000598874
1751,7,23,1751,7,30,31,1751.559,262,285.1774,676559,676559,4.22E-04,0.000427336,0.000599938
1751,7,30,1751,8,6,32,1751.578,278,285.2389,676578,676578,4.22E-04,0.0004274,0.000600003
1751,8,6,1751,8,13,33,1751.597,241,285.3001,676597,676597,4.22E-04,0.000427465,0.000600068
1751,8,13,1751,8,20,34,1751.616,308,285.361,676616,676616,4.22E-04,0.000427529,0.000600132
1751,8,20,1751,8,27,35,1751.636,282,285.4217,676636,676636,4.22E-04,0.000427598,0.0006002
1751,8,27,1751,9,3,36,1751.655,300,285.4822,676655,676655,4.22E-04,0.000427662,0.000600265
1751,9,3,1751,9,10,37,1751.674,297,285.5423,676674,676674,4.22E-04,0.000427727,0.000600329
1751,9,10,1751,9,17,38,1751.693,283,285.6022,676693,676693,4.22E-04,0.000427791,0.000600394
1751,9,17,1751,9,24,39,1751.712,320,285.6618,676712,676712,4.22E-04,0.000427856,0.000600459
1751,9,24,1751,10,1,40,1751.732,257,285.7211,676732,676732,4.22E-04,0.000427924,0.000600527
1751,10,1,1751,10,8,41,1751.751,296,285.7801,676751,676751,4.22E-04,0.000427989,0.000600591
1751,10,8,1751,10,15,42,1751.77,212,285.8388,676770,676770,4.22E-04,0.000428053,0.000600656
1751,10,15,1751,10,22,43,1751.789,306,285.8971,676789,676789,4.22E-04,0.000428118,0.000600721
1751,10,22,1751,10,29,44,1751.808,283,285.9551,676808,676808,4.23E-04,0.000429183,0.000601785
1751,10,29,1751,11,5,45,1751.827,266,286.0128,676827,676827,4.23E-04,0.000429247,0.00060185
1751,11,5,1751,11,12,46,1751.847,278,286.0702,676847,676847,4.23E-04,0.000429315,0.000601918
1751,11,12,1751,11,19,47,1751.866,340,286.1271,676866,676866,4.23E-04,0.00042938,0.000601983
1751,11,19,1751,11,26,48,1751.885,249,286.1837,676885,676885,4.23E-04,0.000429444,0.000602047
1751,11,26,1751,12,3,49,1751.904,316,286.24,676904,676904,4.23E-04,0.000429509,0.000602112
1751,12,3,1751,12,10,50,1751.923,275,286.2958,676923,676923,4.23E-04,0.000429574,0.000602176
1751,12,10,1751,12,17,51,1751.942,302,286.3513,676942,676942,4.23E-04,0.000429638,0.000602241
1751,12,17,1751,12,24,52,1751.962,244,286.4063,676962,676962,4.23E-04,0.000429706,0.000602309
1751,12,24,1751,12,31,1,1751.981,262,286.461,676981,676981,4.23E-04,0.000429771,0.000602374
1751,12,31,1752,1,7,2,1752,332,286.5152,677000,677000,4.23E-04,0.000429836,0.000602438
1752,1,7,1752,1,14,3,1752.019,253,286.569,677019,677019,4.23E-04,0.0004299,0.000602503
1752,1,14,1752,1,21,4,1752.038,330,286.6223,677038,677038,4.23E-04,0.000429965,0.000602568
1752,1,21,1752,1,28,5,1752.058,273,286.6752,677058,677058,4.23E-04,0.000430033,0.000602636
1752,1,28,1752,2,4,6,1752.077,318,286.7277,677077,677077,4.23E-04,0.000430097,0.0006027
1752,2,4,1752,2,11,7,1752.096,276,286.7797,677096,677096,4.24E-04,0.000431162,0.000603765
1752,2,11,1752,2,18,8,1752.115,296,286.8312,677115,677115,4.24E-04,0.000431227,0.000603829
1752,2,18,1752,2,25,9,1752.134,306,286.8823,677134,677134,4.24E-04,0.000431291,0.000603894
1752,2,25,1752,3,3,10,1752.153,302,286.9256,677153,677153,4.24E-04,0.000431356,0.000603959
1752,3,3,1752,3,10,11,1752.17,283,286.9758,677170,677170,4.24E-04,0.000431414,0.000604017
1752,3,10,1752,3,17,12,1752.189,292,287.0254,677189,677189,4.24E-04,0.000431478,0.000604081
1752,3,17,1752,3,24,13,1752.208,305,287.0745,677208,677208,4.24E-04,0.000431543,0.000604146
1752,3,24,1752,3,31,14,1752.227,302,287.1231,677227,677227,4.24E-04,0.000431608,0.00060421
1752,3,31,1752,4,7,15,1752.247,350,287.1711,677247,677247,4.24E-04,0.000431676,0.000604278
1752,4,7,1752,4,14,16,1752.266,274,287.2187,677266,677266,4.24E-04,0.00043174,0.000604343
1752,4,14,1752,4,21,17,1752.285,302,287.2656,677285,677285,4.24E-04,0.000431805,0.000604408
1752,4,21,1752,4,28,18,1752.304,357,287.3121,677304,677304,4.24E-04,0.00043187,0.000604472
1752,4,28,1752,5,5,19,1752.323,332,287.3579,677323,677323,4.24E-04,0.000431934,0.000604537
1752,5,5,1752,5,12,20,1752.342,264,287.4032,677342,677342,4.24E-04,0.000431999,0.000604602
1752,5,12,1752,5,19,21,1752.362,323,287.4479,677362,677362,4.24E-04,0.000432067,0.00060467
1752,5,19,1752,5,26,22,1752.381,317,287.492,677381,677381,4.24E-04,0.000432131,0.000604734
1752,5,26,1752,6,2,23,1752.4,341,287.5355,677400,677400,4.24E-04,0.000432196,0.000604799
1752,6,2,1752,6,9,24,1752.419,289,287.5784,677419,677419,4.25E-04,0.000433261,0.000605863
1752,6,9,1752,6,16,25,1752.438,317,287.6206,677438,677438,4.25E-04,0.000433325,0.000605928
1752,6,16,1752,6,23,26,1752.458,307,287.6623,677458,677458,4.25E-04,0.000433393,0.000605996
1752,6,23,1752,6,30,27,1752.477,276,287.7033,677477,677477,4.25E-04,0.000433458,0.000606061
1752,6,30,1752,7,7,28,1752.496,290,287.7437,677496,677496,4.25E-04,0.000433523,0.000606125
1752,7,7,1752,7,14,29,1752.515,313,287.7834,677515,677515,4.25E-04,0.000433587,0.00060619
1752,7,14,1752,7,21,30,1752.534,291,287.8224,677534,677534,4.25E-04,0.000433652,0.000606255
1752,7,21,1752,7,28,31,1752.553,335,287.8608,677553,677553,4.25E-04,0.000433717,0.000606319
1752,7,28,1752,8,4,32,1752.573,300,287.8985,677573,677573,4.25E-04,0.000433785,0.000606387
1752,8,4,1752,8,11,33,1752.592,283,287.9356,677592,677592,4.25E-04,0.000433849,0.000606452
1752,8,11,1752,8,18,34,1752.611,314,287.9719,677611,677611,4.25E-04,0.000433914,0.000606517
1752,8,18,1752,8,25,35,1752.63,345,288.0075,677630,677630,4.25E-04,0.000433978,0.000606581
1752,8,25,1752,9,1,36,1752.649,280,288.0424,677649,677649,4.25E-04,0.000434043,0.000606646
1752,NA,NA,1752,NA,NA,37,1752.668,299,288.0767,677668,677668,4.25E-04,0.000434108,0.00060671
1752,NA,NA,1752,NA,NA,38,1752.688,318,288.1102,677688,677688,4.25E-04,0.000434176,0.000606778
1752,9,1,1752,9,19,39,1752.707,337,288.1288,677707,677707,4.25E-04,0.00043424,0.000606843
1752,9,19,1752,9,26,40,1752.718,313,288.1611,677718,677718,4.25E-04,0.000434278,0.00060688
1752,9,26,1752,10,3,41,1752.737,297,288.1927,677737,677737,4.25E-04,0.000434342,0.000606945
1752,10,3,1752,10,10,42,1752.756,281,288.2234,677756,677756,4.25E-04,0.000434407,0.00060701
1752,10,10,1752,10,17,43,1752.775,328,288.2535,677775,677775,4.25E-04,0.000434472,0.000607074
1752,10,17,1752,10,24,44,1752.795,277,288.2827,677795,677795,4.25E-04,0.00043454,0.000607142
1752,10,24,1752,10,31,45,1752.814,309,288.3111,677814,677814,4.25E-04,0.000434604,0.000607207
1752,10,31,1752,11,7,46,1752.833,255,288.3388,677833,677833,4.25E-04,0.000434669,0.000607272
1752,11,7,1752,11,14,47,1752.852,309,288.3656,677852,677852,4.25E-04,0.000434734,0.000607336
1752,11,14,1752,11,21,48,1752.871,272,288.3916,677871,677871,4.25E-04,0.000434798,0.000607401
1752,11,21,1752,11,28,49,1752.89,274,288.4168,677890,677890,4.25E-04,0.000434863,0.000607466
1752,11,28,1752,12,5,50,1752.91,320,288.4412,677910,677910,4.25E-04,0.000434931,0.000607534
1752,12,5,1752,12,12,51,1752.929,260,288.4647,677929,677929,4.26E-04,0.000435995,0.000608598
1752,12,12,1752,12,19,52,1752.948,288,288.4874,677948,677948,4.26E-04,0.00043606,0.000608663
1752,12,19,1752,12,26,53,1752.967,213,288.5092,677967,677967,4.26E-04,0.000436125,0.000608727
1752,12,26,1753,1,2,1,1752.986,338,288.5302,677986,677986,4.26E-04,0.000436189,0.000608792
1753,1,2,1753,1,9,2,1753.005,292,288.5503,678005,678005,4.26E-04,0.000436254,0.000608857
1753,1,9,1753,1,16,3,1753.025,267,288.5695,678025,678025,4.26E-04,0.000436322,0.000608925
1753,1,16,1753,1,23,4,1753.044,297,288.5878,678044,678044,4.26E-04,0.000436387,0.000608989
1753,1,23,1753,1,30,5,1753.063,334,288.6052,678063,678063,4.26E-04,0.000436451,0.000609054
1753,1,30,1753,2,6,6,1753.082,309,288.6217,678082,678082,4.26E-04,0.000436516,0.000609119
1753,2,6,1753,2,14,7,1753.101,305,288.6394,678101,678101,4.26E-04,0.00043658,0.000609183
1753,2,14,1753,2,20,8,1753.123,280,288.6519,678123,678123,4.26E-04,0.000436655,0.000609258
1753,2,20,1753,2,27,9,1753.14,324,288.6657,678140,678140,4.26E-04,0.000436713,0.000609316
1753,2,27,1753,3,6,10,1753.159,284,288.6784,678159,678159,4.26E-04,0.000436778,0.00060938
1753,3,6,1753,3,13,11,1753.178,358,288.6903,678178,678178,4.26E-04,0.000436842,0.000609445
1753,3,13,1753,3,20,12,1753.197,361,288.7011,678197,678197,4.26E-04,0.000436907,0.00060951
1753,3,20,1753,3,27,13,1753.216,319,288.711,678216,678216,4.26E-04,0.000436972,0.000609574
1753,3,27,1753,4,3,14,1753.236,326,288.72,678236,678236,4.26E-04,0.00043704,0.000609642
1753,4,3,1753,4,10,15,1753.255,296,288.7279,678255,678255,4.26E-04,0.000437104,0.000609707
1753,4,10,1753,4,17,16,1753.274,294,288.7349,678274,678274,4.26E-04,0.000437169,0.000609772
1753,4,17,1753,4,24,17,1753.293,345,288.7409,678293,678293,4.26E-04,0.000437234,0.000609836
1753,4,24,1753,5,1,18,1753.312,300,288.7459,678312,678312,4.26E-04,0.000437298,0.000609901
1753,5,1,1753,5,8,19,1753.332,329,288.7499,678332,678332,4.26E-04,0.000437366,0.000609969
1753,5,8,1753,5,15,20,1753.351,278,288.753,678351,678351,4.26E-04,0.000437431,0.000610034
1753,5,15,1753,5,22,21,1753.37,283,288.7551,678370,678370,4.26E-04,0.000437495,0.000610098
1753,5,22,1753,5,29,22,1753.389,275,288.7561,678389,678389,4.26E-04,0.00043756,0.000610163
1753,5,29,1753,6,5,23,1753.408,284,288.7562,678408,678408,4.26E-04,0.000437625,0.000610227
1753,6,5,1753,6,12,24,1753.427,278,288.7554,678427,678427,4.26E-04,0.000437689,0.000610292
1753,6,12,1753,6,19,25,1753.447,266,288.7535,678447,678447,4.26E-04,0.000437757,0.00061036
1753,6,19,1753,6,26,26,1753.466,292,288.7507,678466,678466,4.26E-04,0.000437822,0.000610425
1753,6,26,1753,7,3,27,1753.485,318,288.7469,678485,678485,4.26E-04,0.000437887,0.000610489
1753,7,3,1753,7,10,28,1753.504,277,288.7422,678504,678504,4.26E-04,0.000437951,0.000610554
1753,7,10,1753,7,17,29,1753.523,330,288.7366,678523,678523,4.26E-04,0.000438016,0.000610619
1753,7,17,1753,7,24,30,1753.542,295,288.73,678542,678542,4.26E-04,0.00043808,0.000610683
1753,7,24,1753,7,31,31,1753.562,272,288.7224,678562,678562,4.25E-04,0.000437148,0.000609751
1753,7,31,1753,8,7,32,1753.581,271,288.714,678581,678581,4.25E-04,0.000437213,0.000609816
1753,8,7,1753,8,14,33,1753.6,293,288.7047,678600,678600,4.25E-04,0.000437278,0.00060988
1753,8,14,1753,8,21,34,1753.619,289,288.6944,678619,678619,4.25E-04,0.000437342,0.000609945
1753,8,21,1753,8,28,35,1753.638,287,288.6833,678638,678638,4.25E-04,0.000437407,0.00061001
1753,8,28,1753,9,4,36,1753.658,258,288.6712,678658,678658,4.25E-04,0.000437475,0.000610078
1753,9,4,1753,9,11,37,1753.677,298,288.6583,678677,678677,4.25E-04,0.00043754,0.000610142
1753,9,11,1753,9,18,38,1753.696,303,288.6445,678696,678696,4.25E-04,0.000437604,0.000610207
1753,9,18,1753,9,25,39,1753.715,296,288.6298,678715,678715,4.25E-04,0.000437669,0.000610272
1753,9,25,1753,10,2,40,1753.734,287,288.6143,678734,678734,4.25E-04,0.000437733,0.000610336
1753,10,2,1753,10,9,41,1753.753,279,288.5979,678753,678753,4.25E-04,0.000437798,0.000610401
1753,10,9,1753,10,16,42,1753.773,293,288.5807,678773,678773,4.25E-04,0.000437866,0.000610469
1753,10,16,1753,10,23,43,1753.792,300,288.5627,678792,678792,4.25E-04,0.000437931,0.000610533
1753,10,23,1753,10,30,44,1753.811,303,288.5438,678811,678811,4.25E-04,0.000437995,0.000610598
1753,10,30,1753,11,6,45,1753.83,304,288.5241,678830,678830,4.25E-04,0.00043806,0.000610663
1753,11,6,1753,11,13,46,1753.849,291,288.5035,678849,678849,4.25E-04,0.000438125,0.000610727
1753,11,13,1753,11,20,47,1753.868,304,288.4822,678868,678868,4.25E-04,0.000438189,0.000610792
1753,11,20,1753,11,27,48,1753.888,325,288.4601,678888,678888,4.25E-04,0.000438257,0.00061086
1753,11,27,1753,12,4,49,1753.907,272,288.4372,678907,678907,4.25E-04,0.000438322,0.000610925
1753,12,4,1753,12,11,50,1753.926,284,288.4135,678926,678926,4.25E-04,0.000438387,0.000610989
1753,12,11,1753,12,18,51,1753.945,292,288.389,678945,678945,4.25E-04,0.000438451,0.000611054
1753,12,18,1753,12,25,52,1753.964,172,288.3637,678964,678964,4.25E-04,0.000438516,0.000611119
1753,12,25,1754,1,1,1,1753.984,325,288.3377,678984,678984,4.25E-04,0.000438584,0.000611187
1754,1,1,1754,1,8,2,1754.003,300,288.3109,679003,679003,4.25E-04,0.000438648,0.000611251
1754,1,8,1754,1,15,3,1754.022,284,288.2834,679022,679022,4.25E-04,0.000438713,0.000611316
1754,1,15,1754,1,22,4,1754.041,296,288.2552,679041,679041,4.25E-04,0.000438778,0.00061138
1754,1,22,1754,1,29,5,1754.06,293,288.2262,679060,679060,4.24E-04,0.000437842,0.000610445
1754,1,29,1754,2,5,6,1754.079,320,288.1965,679079,679079,4.24E-04,0.000437907,0.00061051
1754,2,5,1754,2,12,7,1754.099,243,288.166,679099,679099,4.24E-04,0.000437975,0.000610578
1754,2,12,1754,2,19,8,1754.118,309,288.1349,679118,679118,4.24E-04,0.00043804,0.000610642
1754,2,19,1754,2,26,9,1754.137,308,288.103,679137,679137,4.24E-04,0.000438104,0.000610707
1754,2,26,1754,3,5,10,1754.156,345,288.0705,679156,679156,4.24E-04,0.000438169,0.000610772
1754,3,5,1754,3,12,11,1754.175,301,288.0373,679175,679175,4.24E-04,0.000438233,0.000610836
1754,3,12,1754,3,19,12,1754.195,236,288.0034,679195,679195,4.24E-04,0.000438301,0.000610904
1754,3,19,1754,3,26,13,1754.214,325,287.9688,679214,679214,4.24E-04,0.000438366,0.000610969
1754,3,26,1754,4,2,14,1754.233,341,287.9335,679233,679233,4.24E-04,0.000438431,0.000611033
1754,4,2,1754,4,9,15,1754.252,299,287.8976,679252,679252,4.24E-04,0.000438495,0.000611098
1754,4,9,1754,4,16,16,1754.271,267,287.8611,679271,679271,4.24E-04,0.00043856,0.000611163
1754,4,16,1754,4,23,17,1754.29,298,287.8239,679290,679290,4.24E-04,0.000438625,0.000611227
1754,4,23,1754,4,30,18,1754.31,307,287.786,679310,679310,4.24E-04,0.000438693,0.000611295
1754,4,30,1754,5,7,19,1754.329,346,287.7476,679329,679329,4.24E-04,0.000438757,0.00061136
1754,5,7,1754,5,14,20,1754.348,238,287.7085,679348,679348,4.24E-04,0.000438822,0.000611425
1754,5,14,1754,5,21,21,1754.367,304,287.6688,679367,679367,4.23E-04,0.000437887,0.000610489
1754,5,21,1754,5,28,22,1754.386,289,287.6285,679386,679386,4.23E-04,0.000437951,0.000610554
1754,5,28,1754,6,4,23,1754.405,276,287.5876,679405,679405,4.23E-04,0.000438016,0.000610618
1754,6,4,1754,6,11,24,1754.425,287,287.5461,679425,679425,4.23E-04,0.000438084,0.000610687
1754,6,11,1754,6,18,25,1754.444,292,287.504,679444,679444,4.23E-04,0.000438148,0.000610751
1754,6,18,1754,6,25,26,1754.463,268,287.4614,679463,679463,4.23E-04,0.000438213,0.000610816
1754,6,25,1754,7,2,27,1754.482,273,287.4182,679482,679482,4.23E-04,0.000438278,0.00061088
1754,7,2,1754,7,9,28,1754.501,242,287.3744,679501,679501,4.23E-04,0.000438342,0.000610945
1754,7,9,1754,7,16,29,1754.521,250,287.3301,679521,679521,4.23E-04,0.00043841,0.000611013
1754,7,16,1754,7,23,30,1754.54,296,287.2852,679540,679540,4.23E-04,0.000438475,0.000611078
1754,7,23,1754,7,30,31,1754.559,281,287.2398,679559,679559,4.23E-04,0.00043854,0.000611142
1754,7,30,1754,8,6,32,1754.578,276,287.1938,679578,679578,4.23E-04,0.000438604,0.000611207
1754,8,6,1754,8,13,33,1754.597,265,287.1474,679597,679597,4.23E-04,0.000438669,0.000611272
1754,8,13,1754,8,20,34,1754.616,290,287.1004,679616,679616,4.22E-04,0.000437733,0.000610336
1754,8,20,1754,8,27,35,1754.636,255,287.0529,679636,679636,4.22E-04,0.000437801,0.000610404
1754,8,27,1754,9,3,36,1754.655,334,287.0049,679655,679655,4.22E-04,0.000437866,0.000610469
1754,9,3,1754,9,10,37,1754.674,277,286.9564,679674,679674,4.22E-04,0.000437931,0.000610533
1754,9,10,1754,9,17,38,1754.693,260,286.9074,679693,679693,4.22E-04,0.000437995,0.000610598
1754,9,17,1754,9,24,39,1754.712,315,286.858,679712,679712,4.22E-04,0.00043806,0.000610663
1754,9,24,1754,10,1,40,1754.732,280,286.808,679732,679732,4.22E-04,0.000438128,0.000610731
1754,10,1,1754,10,8,41,1754.751,308,286.7577,679751,679751,4.22E-04,0.000438193,0.000610795
1754,10,8,1754,10,15,42,1754.77,258,286.7068,679770,679770,4.22E-04,0.000438257,0.00061086
1754,10,15,1754,10,22,43,1754.789,252,286.6555,679789,679789,4.22E-04,0.000438322,0.000610925
1754,10,22,1754,10,29,44,1754.808,295,286.6038,679808,679808,4.22E-04,0.000438386,0.000610989
1754,10,29,1754,11,5,45,1754.827,313,286.5516,679827,679827,4.22E-04,0.000438451,0.000611054
1754,11,5,1754,11,12,46,1754.847,300,286.499,679847,679847,4.21E-04,0.000437519,0.000610122
1754,11,12,1754,11,19,47,1754.866,279,286.446,679866,679866,4.21E-04,0.000437584,0.000610187
1754,11,19,1754,11,26,48,1754.885,289,286.3926,679885,679885,4.21E-04,0.000437648,0.000610251
1754,11,26,1754,12,3,49,1754.904,255,286.3387,679904,679904,4.21E-04,0.000437713,0.000610316
1754,12,3,1754,12,10,50,1754.923,344,286.2845,679923,679923,4.21E-04,0.000437778,0.00061038
1754,12,10,1754,12,17,51,1754.942,265,286.2299,679942,679942,4.21E-04,0.000437842,0.000610445
1754,12,17,1754,12,24,52,1754.962,255,286.1749,679962,679962,4.21E-04,0.00043791,0.000610513
